@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normal,pause}

@DATA
0.113458,0.027026,2.796627,0.152581,0.179987,0.641715,0.010888,0.216538,-26.984908,0.688200,-0.775205,-0.789190,-0.350316,0.037275,-0.274350,-0.003612,-0.007164,0.365045,0.218959,0.027764,-0.083003,0.017396,0.008608,0.015669,0.003710,0.007640,0.003875,0.044758,0.006796,0.011133,0.009097,0.014650,0.012191,0.022124,0.089200,0.037322,0.615196,0.059470,0.065456,0.392091,0.005526,0.243561,5.210846,1.556075,0.851156,0.566276,0.486547,0.609414,0.409587,0.513223,0.482624,0.450445,0.398784,0.413375,0.264383,0.026776,0.012503,0.021024,0.003848,0.010340,0.005543,0.077477,0.008333,0.015840,0.013331,0.020698,0.019209,0.017587,normal
0.099819,0.028872,2.890423,0.146221,0.171645,0.591345,0.011498,0.157713,-27.369810,0.558543,-0.601267,-0.425331,-0.113543,-0.089706,0.053614,0.227509,0.079120,0.192955,0.008946,-0.029165,-0.106952,0.010414,0.005565,0.011467,0.013440,0.014012,0.013260,0.052205,0.004861,0.004838,0.008493,0.013783,0.014468,0.022289,0.065150,0.036884,0.491518,0.061525,0.068377,0.344274,0.010215,0.189605,5.892313,1.603191,1.184512,0.831795,0.429212,0.699491,0.316891,0.231889,0.337889,0.215407,0.205829,0.210678,0.261347,0.011423,0.007022,0.015831,0.022607,0.024050,0.018056,0.093266,0.009638,0.005788,0.015446,0.017961,0.018883,0.023609,normal
0.065302,0.012605,2.909129,0.111898,0.171683,0.219124,0.013224,0.062228,-26.310110,2.234935,-1.530402,-0.435903,0.158111,-0.088113,-0.069860,-0.079159,-0.286040,-0.147582,-0.015289,0.014814,-0.045117,0.006312,0.009305,0.014964,0.007934,0.015083,0.026545,0.038846,0.007234,0.010630,0.011025,0.007547,0.005382,0.017573,0.043141,0.014925,0.420804,0.031761,0.032937,0.243208,0.003622,0.043924,1.881930,0.792923,0.716571,0.405847,0.259162,0.302384,0.280552,0.248183,0.281218,0.288311,0.208218,0.229208,0.261598,0.004036,0.006372,0.011324,0.009518,0.019174,0.022969,0.034227,0.007889,0.009503,0.007739,0.005665,0.004715,0.006592,normal
0.049989,0.109062,3.060829,0.109180,0.178123,0.067557,0.035326,0.043534,-25.021554,1.908721,-2.021328,-0.257955,0.508114,-0.086161,-0.242178,-0.323370,-0.542025,-0.772594,-0.294488,0.285251,0.684636,0.006135,0.002901,0.005092,0.006961,0.028461,0.036164,0.009803,0.002563,0.001128,0.000851,0.024162,0.026107,0.025239,0.049009,0.069866,0.435933,0.034944,0.039893,0.088542,0.021929,0.004558,2.184951,0.724216,0.513013,0.544039,0.357024,0.300194,0.326182,0.314301,0.203155,0.318910,0.385228,0.338042,0.265351,0.010453,0.008370,0.010067,0.008281,0.025464,0.032631,0.014255,0.005644,0.001222,0.000858,0.036259,0.047282,0.016118,normal
0.219336,0.019772,2.668328,0.226137,0.211177,1.168460,0.008513,0.352843,-29.071914,1.392971,0.657961,-0.291651,-0.393384,0.042020,-0.152505,0.352779,0.179049,0.179167,-0.009917,-0.045778,-0.119553,0.016334,0.011151,0.022841,0.006403,0.011355,0.004974,0.047990,0.001253,0.004617,0.007545,0.018895,0.006680,0.020840,0.144069,0.035850,0.779652,0.082312,0.068938,0.756191,0.006725,0.248112,5.533190,1.084325,0.832374,0.516258,0.565515,0.425791,0.415364,0.251251,0.227703,0.223000,0.265799,0.303172,0.245733,0.026568,0.022744,0.019935,0.007971,0.010033,0.004216,0.078958,0.001483,0.006531,0.007677,0.024507,0.010444,0.019857,normal
0.211853,0.008473,3.010336,0.230191,0.245267,0.744840,0.009800,0.336247,-30.760926,2.482132,0.456866,-0.193797,0.274990,-0.137644,0.064365,0.048211,0.256101,-0.054303,-0.072321,0.025814,0.065953,0.008007,0.004811,0.038107,0.014839,0.038342,0.006448,0.091072,0.000741,0.002321,0.007604,0.014129,0.007639,0.035194,0.168531,0.014432,0.278985,0.104591,0.064212,0.350187,0.005185,0.282668,5.477453,0.696340,0.768279,0.633785,0.308516,0.400501,0.396142,0.297672,0.231783,0.178088,0.159594,0.214839,0.134023,0.012198,0.007231,0.045679,0.021868,0.038789,0.009265,0.066061,0.001182,0.002804,0.007500,0.014249,0.011877,0.015017,normal
0.248509,0.021321,2.791468,0.281103,0.178546,1.553585,0.002517,0.324345,-28.445666,-0.158051,0.007867,-0.032377,-0.043800,0.063741,0.081794,0.211129,0.120749,-0.010173,0.030844,-0.086571,-0.043090,0.003942,0.001859,0.008443,0.006455,0.014516,0.006220,0.025592,0.001940,0.003465,0.003490,0.003398,0.002701,0.008994,0.090721,0.021234,0.603438,0.080130,0.044093,0.505463,0.001625,0.143024,4.959976,0.929357,0.412341,0.521393,0.489273,0.407219,0.337396,0.299578,0.355095,0.177503,0.183802,0.164871,0.250748,0.003784,0.001918,0.010384,0.012308,0.023060,0.013169,0.046248,0.002023,0.004308,0.003085,0.002483,0.002735,0.013142,normal
0.220155,0.027123,2.872627,0.285746,0.203276,1.187967,0.006500,0.360103,-30.700151,0.452655,0.049405,-0.470599,-0.295075,-0.023099,-0.028345,0.251102,0.264784,0.082066,-0.082153,-0.175504,-0.011591,0.014062,0.025609,0.012754,0.001890,0.005730,0.002722,0.043153,0.000553,0.001263,0.007852,0.008666,0.008459,0.023675,0.123512,0.050375,0.466187,0.074853,0.056320,0.587778,0.006836,0.244853,5.582260,1.225777,0.704000,0.893613,0.392180,0.346865,0.544521,0.334130,0.433092,0.321537,0.329129,0.294144,0.172230,0.023626,0.056359,0.025169,0.002061,0.009601,0.007591,0.081077,0.000732,0.001392,0.024041,0.011131,0.021189,0.022602,normal
0.180180,0.017528,2.908852,0.217193,0.198298,0.950445,0.009398,0.269442,-30.070613,0.726138,-0.254635,-0.473434,-0.426041,-0.202228,0.057781,0.085680,0.016339,0.052519,-0.097359,0.076287,-0.138258,0.014860,0.005872,0.019613,0.009023,0.015135,0.006569,0.025426,0.002672,0.004102,0.012741,0.010652,0.007196,0.019108,0.112928,0.037968,0.478109,0.056879,0.046537,0.526852,0.009204,0.239274,5.646813,1.120756,0.840424,0.543619,0.500053,0.454523,0.460002,0.264792,0.381557,0.382874,0.257341,0.251024,0.154182,0.028662,0.011012,0.030196,0.011779,0.024496,0.011354,0.035190,0.005757,0.007463,0.028223,0.011775,0.016996,0.014765,normal
0.133600,0.024262,2.884405,0.175790,0.166248,1.042585,0.005875,0.220353,-27.156847,-1.166011,-0.386335,0.105113,-0.142392,0.196298,-0.075226,0.285372,-0.118484,0.036145,-0.058750,-0.037993,-0.053517,0.003834,0.004090,0.008052,0.004823,0.009486,0.002829,0.025115,0.003963,0.005131,0.004967,0.006602,0.005115,0.010702,0.065270,0.029311,0.508433,0.051125,0.039854,0.279533,0.003223,0.168025,4.646172,1.100921,0.602875,0.487531,0.327397,0.355729,0.357874,0.289183,0.306720,0.217873,0.252808,0.220088,0.255398,0.003950,0.003924,0.009143,0.007696,0.009138,0.002801,0.043854,0.004437,0.007382,0.006277,0.008017,0.008291,0.011920,normal
