@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {normal}

@DATA
0.035061,0.003456,2.719202,0.116366,0.178487,0.241818,0.019039,0.038135,-35.313965,2.456615,0.261324,0.551076,0.232608,0.340267,0.337937,-0.113642,0.240358,0.252533,0.051432,0.133979,0.067735,0.006697,0.003596,0.059556,0.005117,0.033923,0.009274,0.061309,0.002344,0.002859,0.015500,0.049951,0.004688,0.031389,0.033106,0.007222,0.466180,0.059486,0.056240,0.331970,0.013585,0.045444,5.767906,1.123616,0.745667,0.518843,0.512686,0.261346,0.284624,0.324629,0.303623,0.096297,0.215867,0.210379,0.179024,0.006281,0.008024,0.040741,0.006303,0.029802,0.011433,0.035338,0.002541,0.004114,0.009212,0.032660,0.006452,0.010792,normal
0.043851,0.026185,2.806623,0.143927,0.186967,0.264461,0.019074,0.037913,-30.603161,2.741566,0.209867,0.516276,0.082218,-0.040152,-0.200178,-0.224818,-0.135773,-0.105706,-0.109879,-0.046039,-0.109936,0.025417,0.002158,0.040935,0.041006,0.053874,0.025692,0.022635,0.004053,0.006990,0.012323,0.013266,0.002460,0.033478,0.046635,0.027229,0.535290,0.098254,0.065784,0.340667,0.023345,0.057410,7.915295,0.892801,0.657114,0.382803,0.305855,0.400242,0.239669,0.305664,0.242357,0.255475,0.184018,0.256724,0.241601,0.030955,0.002849,0.047650,0.045283,0.038091,0.036975,0.023601,0.007006,0.009186,0.016400,0.012842,0.003698,0.017949,normal
0.052777,0.034018,2.936166,0.143084,0.181806,0.328896,0.019856,0.049297,-30.130727,2.385547,0.201605,0.442106,0.041044,0.154606,-0.249501,-0.101026,0.047633,-0.332893,-0.203899,-0.053948,-0.029312,0.007672,0.004526,0.018271,0.053685,0.069048,0.015772,0.030343,0.002301,0.004078,0.012811,0.011628,0.005088,0.035131,0.048349,0.045797,0.385142,0.084438,0.062838,0.383457,0.029450,0.053793,7.223272,0.874886,0.879587,0.395225,0.506128,0.437373,0.307900,0.309244,0.274047,0.345026,0.250855,0.289396,0.232608,0.009867,0.006404,0.016185,0.069222,0.058271,0.024211,0.029118,0.004799,0.005833,0.018545,0.016531,0.008513,0.022037,normal
0.035054,0.031135,2.856165,0.124828,0.177830,0.233323,0.017250,0.043209,-28.530880,2.595500,0.107405,0.514477,-0.053818,0.131657,-0.116026,-0.162883,-0.009091,-0.270917,-0.035076,-0.015222,-0.197678,0.034766,0.003162,0.022584,0.012878,0.034741,0.017585,0.035511,0.001059,0.004771,0.028167,0.049312,0.004110,0.034003,0.040083,0.034277,0.628024,0.072039,0.057656,0.352280,0.013835,0.059179,7.313003,0.795112,0.776198,0.348358,0.445742,0.344022,0.296621,0.392022,0.272983,0.200725,0.234299,0.285027,0.284189,0.039469,0.005905,0.022820,0.018387,0.046953,0.022857,0.035420,0.002129,0.005909,0.043222,0.051372,0.007912,0.012690,normal
0.035630,0.004080,2.793228,0.119653,0.181202,0.271367,0.011064,0.038054,-32.132221,2.649792,0.635978,0.452015,-0.279727,-0.028590,-0.041952,-0.206848,-0.227406,-0.051109,-0.321839,0.150014,-0.313876,0.029464,0.002935,0.059354,0.032065,0.031358,0.019134,0.020145,0.001575,0.008687,0.015613,0.022021,0.003037,0.025740,0.022352,0.005216,0.374715,0.038609,0.042477,0.182978,0.006980,0.028085,4.803443,0.812391,0.644393,0.440026,0.358972,0.331452,0.281365,0.253295,0.225388,0.352343,0.242814,0.184574,0.148249,0.027763,0.003700,0.048491,0.030022,0.023681,0.020739,0.013473,0.002665,0.010919,0.016296,0.018562,0.004166,0.009474,normal
0.022502,0.022586,2.998376,0.137081,0.198624,0.160362,0.013910,0.016820,-30.415736,2.828397,0.534849,0.480173,0.002719,0.074759,-0.126669,-0.233002,0.003010,-0.141774,-0.107109,-0.008369,-0.073195,0.040899,0.001570,0.013179,0.008000,0.092213,0.019304,0.029722,0.000782,0.003458,0.018746,0.027733,0.005570,0.041993,0.018872,0.027358,0.449750,0.080313,0.054883,0.231715,0.013876,0.009828,7.760933,0.604549,0.706732,0.450373,0.312041,0.348770,0.351149,0.262009,0.264109,0.199352,0.205880,0.182407,0.167874,0.046397,0.002608,0.014224,0.010697,0.060291,0.026273,0.026456,0.001432,0.006222,0.028445,0.026142,0.012371,0.015102,normal
0.040526,0.020421,2.909483,0.151193,0.208069,0.310238,0.017637,0.034145,-32.113760,2.686894,0.640170,0.432281,-0.044161,0.076226,-0.153269,-0.150119,-0.024973,-0.141432,-0.176143,-0.021834,-0.050879,0.023898,0.003008,0.030288,0.021561,0.080390,0.019172,0.044024,0.000763,0.005044,0.011851,0.019261,0.002921,0.037709,0.042788,0.025609,0.473970,0.089108,0.068202,0.408995,0.013195,0.060422,7.952677,0.821474,0.641954,0.435784,0.394706,0.388827,0.332682,0.338338,0.245505,0.281549,0.299540,0.317553,0.230479,0.032882,0.004411,0.036019,0.035170,0.051955,0.025726,0.032319,0.001507,0.009738,0.021953,0.019190,0.004243,0.014719,normal
0.061774,0.030980,2.634116,0.213501,0.217029,0.526641,0.183136,0.067196,-36.107632,1.761187,0.281179,0.318069,0.142363,0.199364,0.120196,-0.005164,-0.008906,-0.173388,-0.029514,0.055717,0.069883,0.005368,0.001700,0.022845,0.014131,0.021564,0.067617,0.043617,0.000880,0.004753,0.022694,0.011376,0.001088,0.035281,0.067921,0.028908,0.788785,0.127583,0.092921,0.413749,0.171727,0.108564,6.727158,0.827018,0.540314,0.343165,0.422179,0.379406,0.145376,0.251241,0.186147,0.196409,0.248169,0.165206,0.169607,0.008000,0.002618,0.027185,0.023449,0.023299,0.040565,0.047877,0.001563,0.006452,0.031655,0.013232,0.001245,0.010431,normal
0.048457,0.054488,2.981526,0.162617,0.216867,0.294939,0.046609,0.055172,-31.676379,2.259328,0.368109,0.271856,-0.159638,0.236141,0.001888,0.051581,-0.021730,-0.260767,-0.113908,-0.057438,-0.030247,0.043010,0.001687,0.026164,0.006079,0.017760,0.062402,0.044975,0.000416,0.001825,0.011186,0.026566,0.001567,0.045057,0.069721,0.067705,0.559431,0.079104,0.075527,0.521939,0.061181,0.114332,10.475217,1.211822,0.673244,0.330872,0.329779,0.421307,0.266000,0.362786,0.192643,0.270976,0.223275,0.224557,0.352504,0.087701,0.002876,0.047071,0.008162,0.036473,0.072849,0.062438,0.000708,0.003116,0.023101,0.056484,0.002508,0.018522,normal
0.113236,0.030297,2.949612,0.238859,0.215469,0.794762,0.049440,0.201257,-33.646181,1.779279,0.484332,0.082668,-0.162530,0.083179,0.140274,0.059555,0.091442,-0.223891,0.002551,-0.057885,-0.026975,0.012257,0.002693,0.012059,0.004459,0.010490,0.056172,0.033356,0.000477,0.002774,0.019485,0.025486,0.001339,0.031395,0.141296,0.033009,0.476236,0.137906,0.079933,0.833232,0.065847,0.240810,7.647373,1.066808,0.734691,0.361412,0.393256,0.295604,0.295286,0.280637,0.160642,0.278964,0.204441,0.179678,0.179941,0.019401,0.004585,0.014351,0.006580,0.018392,0.062243,0.047385,0.000578,0.004764,0.025398,0.034144,0.001660,0.014995,normal
